date,country,total_cases,new_cases,total_deaths,new_deaths,total_tests,population,aged_65_older,aged_70_older
31dec2019,1,,0,,0,,51269183,13.914,8.6219997
01jan2020,1,,0,,0,,51269183,13.914,8.6219997
02jan2020,1,,0,,0,,51269183,13.914,8.6219997
03jan2020,1,,0,,0,,51269183,13.914,8.6219997
04jan2020,1,,0,,0,,51269183,13.914,8.6219997
05jan2020,1,,0,,0,,51269183,13.914,8.6219997
06jan2020,1,,0,,0,,51269183,13.914,8.6219997
07jan2020,1,,0,,0,,51269183,13.914,8.6219997
08jan2020,1,,0,,0,,51269183,13.914,8.6219997
09jan2020,1,,0,,0,,51269183,13.914,8.6219997
10jan2020,1,,0,,0,,51269183,13.914,8.6219997
11jan2020,1,,0,,0,,51269183,13.914,8.6219997
12jan2020,1,,0,,0,,51269183,13.914,8.6219997
13jan2020,1,,0,,0,,51269183,13.914,8.6219997
14jan2020,1,,0,,0,,51269183,13.914,8.6219997
15jan2020,1,,0,,0,,51269183,13.914,8.6219997
16jan2020,1,,0,,0,,51269183,13.914,8.6219997
17jan2020,1,,0,,0,,51269183,13.914,8.6219997
18jan2020,1,,0,,0,,51269183,13.914,8.6219997
19jan2020,1,,0,,0,,51269183,13.914,8.6219997
20jan2020,1,1,1,,0,,51269183,13.914,8.6219997
21jan2020,1,1,0,,0,11,51269183,13.914,8.6219997
22jan2020,1,1,0,,0,16,51269183,13.914,8.6219997
23jan2020,1,1,0,,0,,51269183,13.914,8.6219997
24jan2020,1,2,1,,0,25,51269183,13.914,8.6219997
25jan2020,1,2,0,,0,,51269183,13.914,8.6219997
26jan2020,1,3,1,,0,48,51269183,13.914,8.6219997
27jan2020,1,4,1,,0,57,51269183,13.914,8.6219997
28jan2020,1,4,0,,0,187,51269183,13.914,8.6219997
29jan2020,1,4,0,,0,,51269183,13.914,8.6219997
30jan2020,1,4,0,,0,244,51269183,13.914,8.6219997
31jan2020,1,7,3,,0,,51269183,13.914,8.6219997
01feb2020,1,12,5,,0,371,51269183,13.914,8.6219997
02feb2020,1,15,3,,0,429,51269183,13.914,8.6219997
03feb2020,1,15,0,,0,,51269183,13.914,8.6219997
04feb2020,1,16,1,,0,607,51269183,13.914,8.6219997
05feb2020,1,18,2,,0,714,51269183,13.914,8.6219997
06feb2020,1,23,5,,0,885,51269183,13.914,8.6219997
07feb2020,1,24,1,,0,1130,51269183,13.914,8.6219997
08feb2020,1,24,0,,0,1701,51269183,13.914,8.6219997
09feb2020,1,25,1,,0,2340,51269183,13.914,8.6219997
10feb2020,1,27,2,,0,2776,51269183,13.914,8.6219997
11feb2020,1,28,1,,0,3629,51269183,13.914,8.6219997
12feb2020,1,28,0,,0,5074,51269183,13.914,8.6219997
13feb2020,1,28,0,,0,5797,51269183,13.914,8.6219997
14feb2020,1,28,0,,0,6854,51269183,13.914,8.6219997
15feb2020,1,28,0,,0,7519,51269183,13.914,8.6219997
16feb2020,1,29,1,,0,7919,51269183,13.914,8.6219997
17feb2020,1,30,1,,0,8171,51269183,13.914,8.6219997
18feb2020,1,31,1,,0,9265,51269183,13.914,8.6219997
19feb2020,1,46,15,,0,10411,51269183,13.914,8.6219997
20feb2020,1,80,34,,0,12161,51269183,13.914,8.6219997
21feb2020,1,155,75,1,1,14816,51269183,13.914,8.6219997
22feb2020,1,345,190,2,1,19621,51269183,13.914,8.6219997
23feb2020,1,601,256,5,3,22633,51269183,13.914,8.6219997
24feb2020,1,762,161,7,2,28615,51269183,13.914,8.6219997
25feb2020,1,892,130,8,1,36716,51269183,13.914,8.6219997
26feb2020,1,1146,254,11,3,46127,51269183,13.914,8.6219997
27feb2020,1,1595,449,12,1,57990,51269183,13.914,8.6219997
28feb2020,1,2022,427,13,1,70940,51269183,13.914,8.6219997
29feb2020,1,2931,909,16,3,85693,51269183,13.914,8.6219997
01mar2020,1,3526,595,17,1,96985,51269183,13.914,8.6219997
02mar2020,1,4212,686,22,5,109591,51269183,13.914,8.6219997
03mar2020,1,4812,600,28,6,125851,51269183,13.914,8.6219997
04mar2020,1,5328,516,32,4,136707,51269183,13.914,8.6219997
05mar2020,1,5766,438,35,3,146541,51269183,13.914,8.6219997
06mar2020,1,6284,518,42,7,164740,51269183,13.914,8.6219997
07mar2020,1,6767,483,44,2,178189,51269183,13.914,8.6219997
08mar2020,1,7134,367,50,6,188518,51269183,13.914,8.6219997
09mar2020,1,7382,248,51,1,196618,51269183,13.914,8.6219997
10mar2020,1,7513,131,54,3,210144,51269183,13.914,8.6219997
11mar2020,1,7755,242,60,6,222395,51269183,13.914,8.6219997
12mar2020,1,7869,114,66,6,,51269183,13.914,8.6219997
13mar2020,1,7979,110,67,1,230707,51269183,13.914,8.6219997
14mar2020,1,8086,107,72,5,,51269183,13.914,8.6219997
15mar2020,1,8162,76,75,3,,51269183,13.914,8.6219997
16mar2020,1,8236,74,75,0,259533,51269183,13.914,8.6219997
17mar2020,1,8320,84,81,6,,51269183,13.914,8.6219997
18mar2020,1,8413,93,86,5,,51269183,13.914,8.6219997
19mar2020,1,8565,152,91,5,291120,51269183,13.914,8.6219997
20mar2020,1,8652,87,100,9,301139,51269183,13.914,8.6219997
21mar2020,1,8799,147,103,3,311805,51269183,13.914,8.6219997
22mar2020,1,8897,98,104,1,317240,51269183,13.914,8.6219997
23mar2020,1,8961,64,113,9,324408,51269183,13.914,8.6219997
24mar2020,1,9037,76,120,7,333142,51269183,13.914,8.6219997
25mar2020,1,9137,100,126,6,343618,51269183,13.914,8.6219997
26mar2020,1,9241,104,131,5,350573,51269183,13.914,8.6219997
27mar2020,1,9332,91,139,8,361742,51269183,13.914,8.6219997
28mar2020,1,9478,146,144,5,371361,51269183,13.914,8.6219997
29mar2020,1,9583,105,152,8,,51269183,13.914,8.6219997
30mar2020,1,9661,78,158,6,381663,51269183,13.914,8.6219997
31mar2020,1,9786,125,163,5,393672,51269183,13.914,8.6219997
01apr2020,1,9786,0,163,0,404962,51269183,13.914,8.6219997
02apr2020,1,9976,190,169,6,413858,51269183,13.914,8.6219997
03apr2020,1,10062,86,174,5,424365,51269183,13.914,8.6219997
04apr2020,1,10156,94,177,3,,51269183,13.914,8.6219997
05apr2020,1,10237,81,183,6,441662,51269183,13.914,8.6219997
06apr2020,1,10284,47,186,3,447509,51269183,13.914,8.6219997
07apr2020,1,10331,47,192,6,456654,51269183,13.914,8.6219997
08apr2020,1,10384,53,200,8,468145,51269183,13.914,8.6219997
09apr2020,1,10423,39,204,4,479202,51269183,13.914,8.6219997
10apr2020,1,10450,27,208,4,487753,51269183,13.914,8.6219997
11apr2020,1,10450,0,208,0,496409,51269183,13.914,8.6219997
12apr2020,1,10512,62,214,6,500833,51269183,13.914,8.6219997
13apr2020,1,10537,25,217,3,505352,51269183,13.914,8.6219997
14apr2020,1,10564,27,222,5,512787,51269183,13.914,8.6219997
15apr2020,1,10591,27,225,3,519526,51269183,13.914,8.6219997
16apr2020,1,10613,22,229,4,524507,51269183,13.914,8.6219997
17apr2020,1,10635,22,230,1,532277,51269183,13.914,8.6219997
18apr2020,1,10653,18,232,2,,51269183,13.914,8.6219997
19apr2020,1,10661,8,234,2,546866,51269183,13.914,8.6219997
20apr2020,1,10674,13,236,2,551054,51269183,13.914,8.6219997
21apr2020,1,10683,9,237,1,558293,51269183,13.914,8.6219997
22apr2020,1,10694,11,238,1,565838,51269183,13.914,8.6219997
23apr2020,1,10702,8,240,2,573832,51269183,13.914,8.6219997
24apr2020,1,10708,6,240,0,579920,51269183,13.914,8.6219997
25apr2020,1,10718,10,240,0,,51269183,13.914,8.6219997
26apr2020,1,10728,10,242,2,,51269183,13.914,8.6219997
27apr2020,1,10738,10,243,1,592765,51269183,13.914,8.6219997
28apr2020,1,10752,14,244,1,599311,51269183,13.914,8.6219997
29apr2020,1,10761,9,246,2,605890,51269183,13.914,8.6219997
30apr2020,1,10765,4,247,1,,51269183,13.914,8.6219997
01may2020,1,10774,9,248,1,614384,51269183,13.914,8.6219997
02may2020,1,10780,6,250,2,619066,51269183,13.914,8.6219997
03may2020,1,10793,13,250,0,622385,51269183,13.914,8.6219997
04may2020,1,10801,8,252,2,625745,51269183,13.914,8.6219997
05may2020,1,10804,3,254,2,631379,51269183,13.914,8.6219997
06may2020,1,10806,2,255,1,635086,51269183,13.914,8.6219997
07may2020,1,10810,4,256,1,640959,51269183,13.914,8.6219997
08may2020,1,10822,12,256,0,645996,51269183,13.914,8.6219997
09may2020,1,10840,18,256,0,650877,51269183,13.914,8.6219997
10may2020,1,10874,34,256,0,,51269183,13.914,8.6219997
11may2020,1,10909,35,256,0,657570,51269183,13.914,8.6219997
12may2020,1,10936,27,258,2,664560,51269183,13.914,8.6219997
13may2020,1,10962,26,259,1,676341,51269183,13.914,8.6219997
14may2020,1,10991,29,260,1,690762,51269183,13.914,8.6219997
15may2020,1,11018,27,260,0,706872,51269183,13.914,8.6219997
16may2020,1,11037,19,262,2,,51269183,13.914,8.6219997
17may2020,1,11050,13,262,0,729993,51269183,13.914,8.6219997
18may2020,1,11065,15,263,1,737118,51269183,13.914,8.6219997
19may2020,1,11078,13,263,0,748649,51269183,13.914,8.6219997
20may2020,1,11110,32,263,0,760082,51269183,13.914,8.6219997
21may2020,1,11122,12,264,1,770595,51269183,13.914,8.6219997
22may2020,1,11142,20,264,0,782132,51269183,13.914,8.6219997
23may2020,1,11165,23,266,2,792851,51269183,13.914,8.6219997
24may2020,1,11190,25,266,0,,51269183,13.914,8.6219997
25may2020,1,11206,16,267,1,807348,51269183,13.914,8.6219997
26may2020,1,11225,19,269,2,817431,51269183,13.914,8.6219997
27may2020,1,11265,40,269,0,831815,51269183,13.914,8.6219997
28may2020,1,11344,79,269,0,846296,51269183,13.914,8.6219997
29may2020,1,11402,58,269,0,860563,51269183,13.914,8.6219997
30may2020,1,11441,39,269,0,876603,51269183,13.914,8.6219997
31may2020,1,11468,27,270,1,887528,51269183,13.914,8.6219997
01jun2020,1,11503,35,271,1,897333,51269183,13.914,8.6219997
02jun2020,1,11541,38,272,1,910929,51269183,13.914,8.6219997
03jun2020,1,11590,49,273,1,928987,51269183,13.914,8.6219997
04jun2020,1,11629,39,273,0,945659,51269183,13.914,8.6219997
05jun2020,1,11668,39,273,0,962194,51269183,13.914,8.6219997
06jun2020,1,11719,51,273,0,977351,51269183,13.914,8.6219997
07jun2020,1,11776,57,273,0,986288,51269183,13.914,8.6219997
08jun2020,1,11814,38,273,0,993840,51269183,13.914,8.6219997
09jun2020,1,11852,38,274,1,1008538,51269183,13.914,8.6219997
10jun2020,1,11902,50,276,2,1025749,51269183,13.914,8.6219997
11jun2020,1,11947,45,276,0,1041394,51269183,13.914,8.6219997
12jun2020,1,12003,56,277,1,1057243,51269183,13.914,8.6219997
13jun2020,1,12051,48,277,0,1071352,51269183,13.914,8.6219997
