region,R,mydate
Alabama,,26jan2020
Alabama,,27jan2020
Alabama,,28jan2020
Alabama,,29jan2020
Alabama,,30jan2020
Alabama,,31jan2020
Alabama,,01feb2020
Alabama,,02feb2020
Alabama,,03feb2020
Alabama,,04feb2020
Alabama,,05feb2020
Alabama,,06feb2020
Alabama,,07feb2020
Alabama,,08feb2020
Alabama,,09feb2020
Alabama,,10feb2020
Alabama,,11feb2020
Alabama,,12feb2020
Alabama,,13feb2020
Alabama,,14feb2020
Alabama,,15feb2020
Alabama,,16feb2020
Alabama,,17feb2020
Alabama,,18feb2020
Alabama,,19feb2020
Alabama,,20feb2020
Alabama,,21feb2020
Alabama,,22feb2020
Alabama,,23feb2020
Alabama,,24feb2020
Alabama,,25feb2020
Alabama,,26feb2020
Alabama,,27feb2020
Alabama,,28feb2020
Alabama,,29feb2020
Alabama,,01mar2020
Alabama,,02mar2020
Alabama,,03mar2020
Alabama,,04mar2020
Alabama,,05mar2020
Alabama,,06mar2020
Alabama,,07mar2020
Alabama,,08mar2020
Alabama,,09mar2020
Alabama,,10mar2020
Alabama,,11mar2020
Alabama,,12mar2020
Alabama,,13mar2020
Alabama,,14mar2020
Alabama,,15mar2020
Alabama,,16mar2020
Alabama,,17mar2020
Alabama,,18mar2020
Alabama,,19mar2020
Alabama,,20mar2020
Alabama,,21mar2020
Alabama,,22mar2020
Alabama,,23mar2020
Alabama,,24mar2020
Alabama,,25mar2020
Alabama,,26mar2020
Alabama,1.3483311,27mar2020
Alabama,1.2913407,28mar2020
Alabama,1.2407918,29mar2020
Alabama,1.200917,30mar2020
Alabama,1.1737058,31mar2020
Alabama,1.1499453,01apr2020
Alabama,1.130663,02apr2020
Alabama,1.1230999,03apr2020
Alabama,1.1149584,04apr2020
Alabama,1.1077383,05apr2020
Alabama,1.0983142,06apr2020
Alabama,1.090106,07apr2020
Alabama,1.0811962,08apr2020
Alabama,1.0715075,09apr2020
Alabama,1.0592682,10apr2020
Alabama,1.0444465,11apr2020
Alabama,1.0348604,12apr2020
Alabama,1.0337882,13apr2020
Alabama,1.0346007,14apr2020
Alabama,1.0387734,15apr2020
Alabama,1.0454044,16apr2020
Alabama,1.0577625,17apr2020
Alabama,1.0826128,18apr2020
Alabama,1.1119485,19apr2020
Alabama,1.1379652,20apr2020
Alabama,1.1552006,21apr2020
Alabama,1.166963,22apr2020
Alabama,1.1743932,23apr2020
Alabama,1.1721795,24apr2020
Alabama,1.160164,25apr2020
Alabama,1.1441454,26apr2020
Alabama,1.129501,27apr2020
Alabama,1.1143407,28apr2020
Alabama,1.0923798,29apr2020
Alabama,1.0614918,30apr2020
Alabama,1.0216111,01may2020
Alabama,.97890538,02may2020
Alabama,.93744171,03may2020
Alabama,.89395851,04may2020
Alabama,.85185868,05may2020
Alabama,.81113762,06may2020
Alabama,.77302009,07may2020
Alabama,.74911159,08may2020
Alabama,.73484713,09may2020
Alabama,.73206186,10may2020
Alabama,.74238211,11may2020
Alabama,.76663274,12may2020
Alabama,.80969614,13may2020
Alabama,.86779982,14may2020
Alabama,.9259305,15may2020
Alabama,.98544514,16may2020
Alabama,1.0286818,17may2020
Alabama,1.0555089,18may2020
Alabama,1.0713971,19may2020
Alabama,1.0757092,20may2020
Alabama,1.08303,21may2020
Alabama,1.0935739,22may2020
Alabama,1.0936362,23may2020
Alabama,1.0843979,24may2020
Alabama,1.0726358,25may2020
Alabama,1.0586151,26may2020
Alabama,1.0517685,27may2020
Alabama,1.0518923,28may2020
Alabama,1.0532162,29may2020
Alabama,1.0531392,30may2020
Alabama,1.0443044,31may2020
Alabama,1.0277936,01jun2020
Alabama,1.0073435,02jun2020
Alabama,.97430199,03jun2020
Alabama,.93771893,04jun2020
Alabama,.9003883,05jun2020
Alabama,.87518305,06jun2020
Alabama,.87560338,07jun2020
Alabama,.90096289,08jun2020
Alabama,.94744152,09jun2020
Alabama,1.0148075,10jun2020
Alabama,1.0776231,11jun2020
Alabama,1.1318518,12jun2020
Alabama,1.1662153,13jun2020
Alabama,1.1855199,14jun2020
Alabama,1.1868166,15jun2020
Alabama,1.1814479,16jun2020
Alabama,1.1702776,17jun2020
Alabama,1.1539203,18jun2020
Alabama,1.1428488,19jun2020
Alabama,1.1529304,20jun2020
Alabama,1.1707054,21jun2020
Alabama,1.1920578,22jun2020
Alabama,1.2119808,23jun2020
Alabama,1.2285308,24jun2020
Alabama,1.2440847,25jun2020
Alabama,1.2560253,26jun2020
Alabama,1.2606494,27jun2020
Alabama,1.2651182,28jun2020
Alabama,1.276842,29jun2020
Alabama,1.2880753,30jun2020
Alabama,1.2971778,01jul2020
Alabama,1.2990774,02jul2020
Alabama,1.293726,03jul2020
Alabama,1.2819459,04jul2020
Alabama,1.2608284,05jul2020
Alabama,1.2346836,06jul2020
Alabama,1.2050301,07jul2020
Alabama,1.1725976,08jul2020
Alabama,1.1363404,09jul2020
Alabama,1.1001998,10jul2020
Alabama,1.0698875,11jul2020
Alabama,1.0461767,12jul2020
Alabama,1.0267143,13jul2020
Alabama,1.0147183,14jul2020
Alabama,1.0075285,15jul2020
Alabama,1.0045761,16jul2020
Alabama,.99469018,17jul2020
Alabama,.97973889,18jul2020
Alabama,.9638533,19jul2020
Alabama,.94854778,20jul2020
Alabama,.93229294,21jul2020
Alabama,.92014694,22jul2020
Alabama,.91888005,23jul2020
